SalePrice,OverallQual,GrLivArea
208500,7,1710
181500,6,1262
223500,7,1786
140000,7,1717
250000,8,2198
143000,5,1362
307000,8,1694
200000,7,2090
129900,7,1774
118000,5,1077
129500,5,1040
345000,9,2324
144000,5,912
279500,7,1494
157000,6,1253
132000,7,854
149000,6,1004
90000,4,1296
159000,5,1114
139000,5,1339
325300,8,2376
139400,7,1108
230000,8,1795
129900,5,1060
154000,5,1060
256300,8,1600
134800,5,900
306000,8,1704
207500,5,1600
68500,4,520
40000,4,1317
149350,5,1228
179900,8,1234
165500,5,1700
277500,9,1561
309000,8,2452
145000,5,1097
153000,5,1297
109000,5,1057
82000,4,1152
160000,6,1324
170000,5,1328
144000,5,884
130250,5,938
141000,5,1150
319900,9,1752
239686,7,2149
249700,8,1656
113000,4,1452
127000,5,955
177000,6,1470
114500,6,1176
110000,5,816
385000,9,1842
130000,5,1360
180500,6,1425
172500,8,1739
196500,7,1720
438780,10,2945
124900,5,780
158000,6,1158
101000,5,1111
202500,8,1370
140000,7,1710
219500,7,2034
317000,8,2473
180000,7,2207
226000,7,1479
80000,4,747
225000,7,2287
244000,7,2223
129500,4,845
185000,7,1718
144900,5,1086
107400,3,1605
91000,4,988
135750,4,952
127000,5,1285
136500,4,1768
110000,5,1230
193500,6,2142
153500,6,1337
245000,8,1563
126500,5,1065
168500,7,1474
260000,8,2417
174000,6,1560
164500,6,1224
85000,3,1526
123600,4,990
109900,4,1040
98600,5,1235
163500,5,964
133900,6,2291
204750,6,1786
185000,6,1470
214000,7,1588
94750,4,960
83000,5,835
128950,4,1225
205000,6,1610
178000,6,1732
118964,5,1535
198900,7,1226
169500,7,1818
250000,8,1992
100000,4,1047
115000,5,789
115000,5,1517
190000,6,1844
136900,6,1855
180000,7,1430
383970,7,2696
217000,6,2259
259500,6,2320
176000,6,1458
139000,5,1092
155000,5,1125
320000,7,3222
163990,6,1456
180000,6,988
100000,4,1123
136000,6,1080
153900,6,1199
181000,6,1586
84500,6,754
128000,6,958
87000,5,840
155000,6,1348
150000,5,1053
226000,7,2157
244000,6,2054
150750,5,1327
220000,8,1296
180000,5,1721
174000,7,1682
143000,5,1214
171000,7,1959
230000,8,1852
231500,6,1764
115000,4,864
260000,7,1734
166000,5,1385
204000,7,1501
125000,5,1728
130000,6,1709
105000,5,875
222500,7,2035
141000,7,1080
115000,5,1344
122000,5,969
372402,8,1710
190000,6,1993
235000,6,1252
125000,6,1200
79000,6,1096
109500,5,1040
269500,8,1968
254900,7,1947
320000,7,2462
162500,6,1232
412500,9,2668
220000,7,1541
103200,4,882
152000,6,1616
127500,5,1355
190000,5,1867
325624,8,2161
183500,7,1720
228000,8,1707
128500,5,1382
215000,6,1656
239000,7,1767
163000,6,1362
184000,6,1651
243000,6,2158
211000,6,2060
172500,5,1920
501837,9,2234
100000,5,968
177000,6,1525
200100,7,1802
120000,5,1340
200000,7,2082
127000,5,1252
475000,10,3608
173000,7,1217
135000,5,1656
153337,5,1224
286000,8,1593
315000,8,2727
184000,7,1479
192000,7,1431
130000,7,1709
127000,5,864
148500,6,1456
311872,7,1726
235000,8,3112
104000,6,2229
274900,8,1713
140000,4,1121
171500,6,1279
112000,6,1310
149000,6,848
110000,5,1284
180500,7,1442
143900,5,1696
141000,4,1100
277000,7,2062
145000,6,1092
98000,5,864
186000,6,1212
252678,7,1852
156000,5,990
161750,6,1392
134450,5,1236
210000,7,1436
107000,4,1328
311500,7,1954
167240,7,1248
204900,7,1498
200000,6,2267
179900,6,1552
97000,4,864
386250,10,2392
112000,5,1302
290000,7,2520
106000,6,987
125000,5,912
192500,7,1555
148000,6,1194
403000,8,2794
94500,6,987
128200,5,894
216500,6,1960
89500,6,987
185500,7,1414
194500,7,1744
318000,8,1694
113000,6,1487
262500,8,1566
110500,5,866
79000,5,1440
120000,6,1217
205000,7,2110
241500,7,1872
137000,6,1928
140000,6,1375
180000,7,1668
277000,6,2144
76500,3,1306
235000,8,1625
173000,6,1640
158000,6,1302
145000,5,1314
230000,7,2291
207500,6,1728
220000,7,1604
231500,7,1792
97000,5,882
176000,6,1382
276000,8,2574
151000,6,1212
130000,5,1316
73000,5,764
175500,6,1422
185000,6,1511
179500,5,2192
120500,5,778
148000,6,1113
266000,8,1939
241500,7,1363
290000,8,2270
139000,6,1632
124500,5,816
205000,7,1548
201000,7,1560
141000,4,864
415298,9,2121
192000,7,2022
228500,7,1982
185000,6,1262
207500,7,1314
244600,8,1468
179200,6,1575
164700,7,1250
159000,6,1734
88000,4,858
122000,5,900
153575,6,1396
233230,8,1919
135900,5,1716
131000,5,1716
235000,7,2263
167000,6,1644
142500,6,1003
152000,5,1558
239000,7,1950
175000,6,1743
158500,6,1152
157000,5,1336
267000,8,2452
205000,7,1541
149900,5,894
295000,7,3493
305900,8,2000
225000,7,2243
89500,6,1406
82500,4,861
360000,9,1944
165600,6,1501
132000,6,972
119900,5,1118
375000,7,2036
178000,7,1641
188500,7,1432
260000,7,2353
270000,8,1959
260000,7,2646
187500,7,1472
342643,9,2596
354000,8,2468
301000,7,2730
126175,3,1163
242000,7,2978
87000,5,803
324000,8,1719
145250,6,1383
214500,6,2134
78000,5,1192
119000,5,1728
139000,5,1056
284000,8,1629
207000,7,1358
192000,6,1638
228950,5,1786
377426,9,1922
214000,7,1536
202500,7,1621
155000,6,1215
202900,8,1908
82000,4,841
87500,3,1040
